companyName,companySize,companyRevenue
Blackstone,"3,795","$22,577.00"
Hartford Financial Services Group,"18,100","$22,390.00"
Aflac,"12,447","$22,106.00"
Whirlpool,"69,000","$21,985.00"
Union Pacific,"32,124","$21,804.00"
International Paper,"38,200","$21,780.00"
Altria Group,"6,000","$21,111.00"
CDW,"13,900","$20,821.00"
ManpowerGroup,"30,000","$20,724.00"
PG&E,"26,000","$20,642.00"
Carrier Global,"58,000","$20,613.00"
Baker Hughes,"54,000","$20,502.00"
Cleveland-Cliffs,"26,000","$20,444.00"
United States Steel,"24,540","$20,275.00"
Becton Dickinson,"75,000","$20,248.00"
CarMax,"26,889","$20,092.00"
Sherwin-Williams,"61,626","$19,945.00"
Builders FirstSource,"28,000","$19,894.00"
Marsh & McLennan,"83,000","$19,820.00"
PNC Financial Services Group,"58,547","$19,698.00"
Lumen Technologies,"36,000","$19,687.00"
Avnet,"14,500","$19,535.00"
Tenet Healthcare,"88,968","$19,485.00"
Kimberly-Clark,"45,000","$19,440.00"
Kohl's,"67,000","$19,433.00"
BlackRock,"18,400","$19,374.00"
Jones Lang LaSalle,"98,200","$19,367.00"
Lear,"160,100","$19,263.00"
Lincoln National,"10,848","$19,230.00"
Charles Schwab,"33,400","$18,996.00"
Ross Stores,"100,000","$18,916.00"
Mastercard,"24,000","$18,884.00"
Genuine Parts,"52,000","$18,871.00"
WestRock,"49,900","$18,746.00"
EOG Resources,"2,800","$18,642.00"
Cognizant Technology Solutions,"330,600","$18,507.00"
Moderna,"2,700","$18,471.00"
Steel Dynamics,"10,640","$18,409.00"
HF Sinclair,"4,208","$18,389.00"
Texas Instruments,"31,000","$18,344.00"
Emerson Electric,"86,700","$18,236.00"
WESCO International,"18,000","$18,218.00"
General Mills,"35,000","$18,127.00"
Tenneco,"71,000","$18,035.00"
Waste Management,"48,500","$17,931.00"
Viatris,"37,000","$17,886.00"
DISH Network,"14,500","$17,881.00"
L3Harris Technologies,"47,000","$17,814.00"
DXC Technology,"134,000","$17,729.00"
Block,"8,521","$17,661.00"
Goodyear Tire & Rubber,"72,000","$17,478.00"
Uber Technologies,"29,300","$17,455.00"
Colgate-Palmolive,"33,800","$17,421.00"
Stanley Black & Decker,"71,300","$17,253.00"
DuPont,"28,000","$17,160.00"
Stryker,"46,000","$17,108.00"
NextEra Energy,"15,000","$17,069.00"
Targa Resources,"2,430","$16,950.00"
Western Digital,"65,600","$16,922.00"
PPG Industries,"49,300","$16,802.00"
American Electric Power,"16,688","$16,792.00"
Gap,"97,000","$16,670.00"
BJ's Wholesale Club,"34,000","$16,667.00"
Reinsurance Group of America,"3,500","$16,658.00"
Kinder Morgan,"10,529","$16,610.00"
Oneok,"2,847","$16,540.00"
Expeditors Intl. of Washington,"19,070","$16,524.00"
Advanced Micro Devices,"15,500","$16,434.00"
Fiserv,"44,000","$16,226.00"
Estée Lauder,"53,320","$16,215.00"
Bank of New York Mellon,"49,100","$16,158.00"
Laboratory Corp. of America,"71,725","$16,121.00"
Regeneron Pharmaceuticals,"10,368","$16,072.00"
Land O'Lakes,"9,000","$15,916.00"
Cheniere Energy,"1,550","$15,864.00"
Southwest Airlines,"55,093","$15,790.00"
Adobe,"25,988","$15,785.00"
Synchrony Financial,"18,000","$15,752.00"
Corteva,"21,000","$15,655.00"
Fidelity National Financial,"28,290","$15,643.00"
DTE Energy,"10,300","$15,369.00"
Murphy USA,"10,430","$15,319.00"
Halliburton,"40,000","$15,295.00"
Automatic Data Processing,"56,000","$15,005.00"
Edison International,"13,003","$14,905.00"
BorgWarner,"49,300","$14,838.00"
Nordstrom,"72,000","$14,789.00"
Loews,"10,340","$14,657.00"
Guardian Life Ins. Co. of America,"9,150","$14,648.00"
Pioneer Natural Resources,"1,932","$14,643.00"
AutoZone,"85,050","$14,630.00"
Lam Research,"14,100","$14,626.00"
American Family Insurance Group,"13,590","$14,612.00"
Illinois Tool Works,"45,000","$14,455.00"
Parker-Hannifin,"54,640","$14,348.00"
Otis Worldwide,"70,000","$14,298.00"
Omnicom Group,"71,700","$14,289.00"
Principal Financial,"18,600","$14,263.00"
Dominion Energy,"17,100","$14,218.00"
Kellogg,"31,000","$14,181.00"
Fluor,"40,582","$14,157.00"
AECOM,"51,000","$14,112.00"
Reliance Steel & Aluminum,"13,950","$14,093.00"
Jacobs Engineering Group,"53,500","$14,093.00"
Corning,"61,200","$14,082.00"
Farmers Insurance Exchange,"11,787","$14,055.00"
Qurate Retail,"26,745","$14,044.00"
Pacific Life,"3,861","$13,936.00"
PulteGroup,"6,182","$13,927.00"
Fidelity National Information Services,"65,000","$13,877.00"
IQVIA Holdings,"79,000","$13,874.00"
Marriott International,"120,000","$13,857.00"
Berry Global Group,"47,000","$13,850.00"
Ball,"24,300","$13,811.00"
Group 1 Automotive,"13,711","$13,802.00"
Leidos Holdings,"43,000","$13,737.00"
Wayfair,"16,681","$13,708.00"
Consolidated Edison,"13,871","$13,676.00"
Ameriprise Financial,"12,000","$13,443.00"
Xcel Energy,"11,321","$13,431.00"
O'Reilly Automotive,"76,158","$13,328.00"
Global Partners,"2,960","$13,248.00"
Discover Financial Services,"16,700","$13,221.00"
Rocket Companies,"26,000","$13,176.00"
LKQ,"46,000","$13,089.00"
W.W. Grainger,"23,450","$13,022.00"
Quanta Services,"43,700","$12,980.00"
Crown Holdings,"26,000","$12,979.00"
Fox,"9,000","$12,909.00"
Sempra,"15,390","$12,857.00"
Markel,"20,300","$12,846.00"
Carvana,"21,000","$12,814.00"
XPO Logistics,"44,700","$12,806.00"
Baxter International,"60,000","$12,784.00"
Ecolab,"47,000","$12,733.00"
Tractor Supply,"34,000","$12,731.00"
Andersons,"2,334","$12,729.00"
Keurig Dr Pepper,"27,500","$12,683.00"
Universal Health Services,"78,850","$12,642.00"
CSX,"20,919","$12,522.00"
Henry Schein,"21,600","$12,401.00"
Sonic Automotive,"10,200","$12,396.00"
eBay,"10,800","$12,394.00"
Textron,"33,000","$12,382.00"
Jones Financial (Edward Jones),"50,000","$12,373.00"
Community Health Systems,"58,500","$12,368.00"
Mosaic,"12,525","$12,357.00"
Thor Industries,"31,000","$12,317.00"
Dick's Sporting Goods,"34,300","$12,293.00"
Newmont,"14,400","$12,222.00"
Devon Energy,"1,600","$12,206.00"
Warner Bros. Discovery,"11,000","$12,191.00"
J.B. Hunt Transport Services,"33,045","$12,168.00"
Alcoa,"12,200","$12,152.00"
Peter Kiewit Sons',"28,800","$12,149.00"
Aramark,"248,300","$12,096.00"
Vistra,"5,060","$12,077.00"
State Street,"38,784","$12,030.00"
Unum Group,"10,200","$12,014.00"
Alleghany,"13,313","$12,004.00"
Boston Scientific,"41,000","$11,888.00"
Westlake,"14,550","$11,778.00"
Entergy,"12,369","$11,743.00"
International Flavors & Fragrances,"24,000","$11,656.00"
DaVita,"69,000","$11,619.00"
Mutual of Omaha Insurance,"5,739","$11,459.00"
Assurant,"15,600","$11,410.00"
Liberty Media,"6,886","$11,400.00"
Hormel Foods,"20,000","$11,386.00"
Icahn Enterprises,"19,536","$11,328.00"
Republic Services,"35,000","$11,295.00"
Mohawk Industries,"43,000","$11,201.00"
Conagra Brands,"18,600","$11,185.00"
Norfolk Southern,"18,100","$11,142.00"
AES,"8,450","$11,141.00"
AGCO,"23,300","$11,138.00"
Caesars Entertainment,"49,000","$11,110.00"
Equitable Holdings,"10,000","$11,036.00"
Advance Auto Parts,"54,500","$10,998.00"
Biogen,"9,610","$10,982.00"
Auto-Owners Insurance,"6,441","$10,980.00"
Booking Holdings,"20,199","$10,958.00"
Amphenol,"90,000","$10,876.00"
Quest Diagnostics,"44,500","$10,788.00"
FirstEnergy,"12,395","$10,758.00"
DCP Midstream,"1,788","$10,707.00"
Ally Financial,"10,500","$10,690.00"
Delek US Holdings,"3,312","$10,648.00"
Williams,"4,783","$10,627.00"
Newell Brands,"32,000","$10,589.00"
Eastman Chemical,"14,000","$10,476.00"
Air Products & Chemicals,"20,750","$10,323.00"
Thrivent Financial for Lutherans,"3,256","$10,313.00"
Molson Coors Beverage,"16,300","$10,280.00"
Interpublic Group,"55,600","$10,241.00"
Weyerhaeuser,"9,214","$10,201.00"
Altice USA,"9,000","$10,091.00"
Raymond James Financial,"15,000","$9,910.00"
EMCOR Group,"34,000","$9,904.00"
Eversource Energy,"9,227","$9,863.00"
Yum China Holdings,"298,500","$9,853.00"
Asbury Automotive Group,"14,200","$9,838.00"
Owens & Minor,"17,300","$9,785.00"
Public Service Enterprise Group,"12,684","$9,722.00"
United Rentals,"20,400","$9,716.00"
MGM Resorts International,"60,500","$9,680.00"
Ryder System,"42,800","$9,663.00"
Intuit,"17,350","$9,633.00"
Cincinnati Financial,"5,166","$9,630.00"
Erie Insurance Group,"5,805","$9,620.00"
Univar Solutions,"9,450","$9,536.00"
Huntington Ingalls Industries,"44,000","$9,524.00"
W.R. Berkley,"7,681","$9,456.00"
Western & Southern Financial Group,"2,538","$9,442.00"
Insight Enterprises,"11,624","$9,436.00"
News Corp.,"24,000","$9,358.00"
American Tower,"6,378","$9,357.00"
Old Republic International,"9,600","$9,342.00"
Burlington Stores,"38,599","$9,322.00"
Avis Budget Group,"18,500","$9,313.00"
ODP,"26,000","$9,267.00"
VF,"33,600","$9,239.00"
Bed Bath & Beyond,"37,600","$9,233.00"
Seaboard,"13,200","$9,229.00"
First American Financial,"22,233","$9,221.00"
Intercontinental Exchange,"8,858","$9,168.00"
PVH,"25,000","$9,155.00"
Apollo Global Management,"2,153","$9,124.00"
Jefferies Financial Group,"5,556","$9,040.00"
Hershey,"17,805","$8,971.00"
NVR,"6,600","$8,970.00"
Foot Locker,"33,244","$8,958.00"
Dana,"40,200","$8,945.00"
SpartanNash,"13,300","$8,931.00"
Olin,"7,750","$8,911.00"
Chewy,"21,300","$8,891.00"
Jackson Financial,"3,150","$8,848.00"
Activision Blizzard,"9,800","$8,803.00"
